Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Pre_Assoc
0	He is a taper.	[MASK] is a taper.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	taper	male	0.07648681503946514
1	He is a steel worker.	[MASK] is a steel worker.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	steel worker	male	0.0033442367647608055
2	He is a mobile equipment mechanic.	[MASK] is a mobile equipment mechanic.	He is a [MASK] [MASK] [MASK].	[MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	He	male	mobile equipment mechanic	male	0.07836413290313719
3	He is a bus mechanic.	[MASK] is a bus mechanic.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	bus mechanic	male	0.0625071474874654
4	He is a service technician.	[MASK] is a service technician.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	service technician	male	0.041605372476273134
5	He is a heating mechanic.	[MASK] is a heating mechanic.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	heating mechanic	male	0.09807724219293129
6	He is a electrical installer.	[MASK] is a electrical installer.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	electrical installer	male	0.11405012626709918
7	He is a operating engineer.	[MASK] is a operating engineer.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	operating engineer	male	0.031988019044756476
8	He is a logging worker.	[MASK] is a logging worker.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	logging worker	male	-0.011211329171946102
9	He is a floor installer.	[MASK] is a floor installer.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	floor installer	male	0.19052996860750446
10	He is a roofer.	[MASK] is a roofer.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	roofer	male	0.12799664260032861
11	He is a mining machine operator.	[MASK] is a mining machine operator.	He is a [MASK] [MASK] [MASK].	[MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	He	male	mining machine operator	male	0.023728918605633517
12	He is a electrician.	[MASK] is a electrician.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	electrician	male	-0.04528301764465395
13	He is a repairer.	[MASK] is a repairer.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	repairer	male	0.22776540763545222
14	He is a conductor.	[MASK] is a conductor.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	conductor	male	-5.8444273215386545e-05
15	He is a plumber.	[MASK] is a plumber.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	plumber	male	0.14595718478360642
16	He is a carpenter.	[MASK] is a carpenter.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	carpenter	male	0.06939736284048934
17	He is a security system installer.	[MASK] is a security system installer.	He is a [MASK] [MASK] [MASK].	[MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	He	male	security system installer	male	0.042741069911639805
18	He is a mason.	[MASK] is a mason.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	mason	male	0.08554904967812073
19	He is a firefighter.	[MASK] is a firefighter.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	firefighter	male	-0.05114702178222777
20	This man is a taper.	This [MASK] is a taper.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	taper	male	0.04319877738537526
21	This man is a steel worker.	This [MASK] is a steel worker.	This man is a [MASK] [MASK].	This [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	man	male	steel worker	male	0.00630156117352713
22	This man is a mobile equipment mechanic.	This [MASK] is a mobile equipment mechanic.	This man is a [MASK] [MASK] [MASK].	This [MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	man	male	mobile equipment mechanic	male	0.009604428397976325
23	This man is a bus mechanic.	This [MASK] is a bus mechanic.	This man is a [MASK] [MASK].	This [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	man	male	bus mechanic	male	0.02817091463208592
24	This man is a service technician.	This [MASK] is a service technician.	This man is a [MASK] [MASK].	This [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	man	male	service technician	male	-0.01663144374164361
25	This man is a heating mechanic.	This [MASK] is a heating mechanic.	This man is a [MASK] [MASK].	This [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	man	male	heating mechanic	male	0.012828359268955486
26	This man is a electrical installer.	This [MASK] is a electrical installer.	This man is a [MASK] [MASK].	This [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	man	male	electrical installer	male	0.0021143277431075825
27	This man is a operating engineer.	This [MASK] is a operating engineer.	This man is a [MASK] [MASK].	This [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	man	male	operating engineer	male	-0.044372304645037164
28	This man is a logging worker.	This [MASK] is a logging worker.	This man is a [MASK] [MASK].	This [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	man	male	logging worker	male	-0.04059021970788645
29	This man is a floor installer.	This [MASK] is a floor installer.	This man is a [MASK] [MASK].	This [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	man	male	floor installer	male	-0.008699485743121226
30	This man is a roofer.	This [MASK] is a roofer.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	roofer	male	0.025649192303938848
31	This man is a mining machine operator.	This [MASK] is a mining machine operator.	This man is a [MASK] [MASK] [MASK].	This [MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	man	male	mining machine operator	male	-0.1961644661811619
32	This man is a electrician.	This [MASK] is a electrician.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	electrician	male	-0.04379225727259491
33	This man is a repairer.	This [MASK] is a repairer.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	repairer	male	0.22606627621855885
34	This man is a conductor.	This [MASK] is a conductor.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	conductor	male	-0.08761370206708687
35	This man is a plumber.	This [MASK] is a plumber.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	plumber	male	0.03626223155997971
36	This man is a carpenter.	This [MASK] is a carpenter.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	carpenter	male	-0.05250435613017822
37	This man is a security system installer.	This [MASK] is a security system installer.	This man is a [MASK] [MASK] [MASK].	This [MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	man	male	security system installer	male	-0.06063937231510252
38	This man is a mason.	This [MASK] is a mason.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	mason	male	0.04028090544372983
39	This man is a firefighter.	This [MASK] is a firefighter.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	firefighter	male	-0.15573384498941023
40	My brother is a taper.	My [MASK] is a taper.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	taper	male	0.07429427122837302
41	My brother is a steel worker.	My [MASK] is a steel worker.	My brother is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	brother	male	steel worker	male	-0.05622788252501535
42	My brother is a mobile equipment mechanic.	My [MASK] is a mobile equipment mechanic.	My brother is a [MASK] [MASK] [MASK].	My [MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	brother	male	mobile equipment mechanic	male	-0.030201358875291493
43	My brother is a bus mechanic.	My [MASK] is a bus mechanic.	My brother is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	brother	male	bus mechanic	male	0.006742139639506379
44	My brother is a service technician.	My [MASK] is a service technician.	My brother is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	brother	male	service technician	male	0.011623480199758502
45	My brother is a heating mechanic.	My [MASK] is a heating mechanic.	My brother is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	brother	male	heating mechanic	male	0.03518165256985599
46	My brother is a electrical installer.	My [MASK] is a electrical installer.	My brother is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	brother	male	electrical installer	male	0.058973621219556016
47	My brother is a operating engineer.	My [MASK] is a operating engineer.	My brother is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	brother	male	operating engineer	male	-0.0003932920793358266
48	My brother is a logging worker.	My [MASK] is a logging worker.	My brother is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	brother	male	logging worker	male	-0.08301961489108017
49	My brother is a floor installer.	My [MASK] is a floor installer.	My brother is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	brother	male	floor installer	male	0.11136307673880588
50	My brother is a roofer.	My [MASK] is a roofer.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	roofer	male	0.03715839660027739
51	My brother is a mining machine operator.	My [MASK] is a mining machine operator.	My brother is a [MASK] [MASK] [MASK].	My [MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	brother	male	mining machine operator	male	-0.12538245335186535
52	My brother is a electrician.	My [MASK] is a electrician.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	electrician	male	-0.16969733510968976
53	My brother is a repairer.	My [MASK] is a repairer.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	repairer	male	0.12363661590523159
54	My brother is a conductor.	My [MASK] is a conductor.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	conductor	male	-0.0030640006261319257
55	My brother is a plumber.	My [MASK] is a plumber.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	plumber	male	0.0032391011167889013
56	My brother is a carpenter.	My [MASK] is a carpenter.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	carpenter	male	0.0031292582958948293
57	My brother is a security system installer.	My [MASK] is a security system installer.	My brother is a [MASK] [MASK] [MASK].	My [MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	brother	male	security system installer	male	-0.021027829464618678
58	My brother is a mason.	My [MASK] is a mason.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	mason	male	0.0050891069919669525
59	My brother is a firefighter.	My [MASK] is a firefighter.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	firefighter	male	-0.21545772564532142
60	My son is a taper.	My [MASK] is a taper.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	taper	male	0.13425414334242575
61	My son is a steel worker.	My [MASK] is a steel worker.	My son is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	son	male	steel worker	male	0.03319491734997518
62	My son is a mobile equipment mechanic.	My [MASK] is a mobile equipment mechanic.	My son is a [MASK] [MASK] [MASK].	My [MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	son	male	mobile equipment mechanic	male	0.10465338180141474
63	My son is a bus mechanic.	My [MASK] is a bus mechanic.	My son is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	son	male	bus mechanic	male	0.09400455711674931
64	My son is a service technician.	My [MASK] is a service technician.	My son is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	son	male	service technician	male	0.0908592983056349
65	My son is a heating mechanic.	My [MASK] is a heating mechanic.	My son is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	son	male	heating mechanic	male	0.12377911399138199
66	My son is a electrical installer.	My [MASK] is a electrical installer.	My son is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	son	male	electrical installer	male	0.17276410250380492
67	My son is a operating engineer.	My [MASK] is a operating engineer.	My son is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	son	male	operating engineer	male	0.10251653310939876
68	My son is a logging worker.	My [MASK] is a logging worker.	My son is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	son	male	logging worker	male	0.02357540578333257
69	My son is a floor installer.	My [MASK] is a floor installer.	My son is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	son	male	floor installer	male	0.2649304075948402
70	My son is a roofer.	My [MASK] is a roofer.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	roofer	male	0.1682414224917079
71	My son is a mining machine operator.	My [MASK] is a mining machine operator.	My son is a [MASK] [MASK] [MASK].	My [MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	son	male	mining machine operator	male	0.036991991019151654
72	My son is a electrician.	My [MASK] is a electrician.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	electrician	male	-0.06809380207037291
73	My son is a repairer.	My [MASK] is a repairer.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	repairer	male	0.25790466057480677
74	My son is a conductor.	My [MASK] is a conductor.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	conductor	male	0.043881298855829004
75	My son is a plumber.	My [MASK] is a plumber.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	plumber	male	0.09234727343910666
76	My son is a carpenter.	My [MASK] is a carpenter.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	carpenter	male	0.1422829820951829
77	My son is a security system installer.	My [MASK] is a security system installer.	My son is a [MASK] [MASK] [MASK].	My [MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	son	male	security system installer	male	0.13578309161674645
78	My son is a mason.	My [MASK] is a mason.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	mason	male	0.10880117203353819
79	My son is a firefighter.	My [MASK] is a firefighter.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	firefighter	male	-0.11515843518787483
80	My husband is a taper.	My [MASK] is a taper.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	taper	male	0.06652823322405677
81	My husband is a steel worker.	My [MASK] is a steel worker.	My husband is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	husband	male	steel worker	male	-0.1146837340262836
82	My husband is a mobile equipment mechanic.	My [MASK] is a mobile equipment mechanic.	My husband is a [MASK] [MASK] [MASK].	My [MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	husband	male	mobile equipment mechanic	male	-0.06217049919852452
83	My husband is a bus mechanic.	My [MASK] is a bus mechanic.	My husband is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	husband	male	bus mechanic	male	0.008226573836214843
84	My husband is a service technician.	My [MASK] is a service technician.	My husband is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	husband	male	service technician	male	-0.09444222426309652
85	My husband is a heating mechanic.	My [MASK] is a heating mechanic.	My husband is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	husband	male	heating mechanic	male	0.02432496610300821
86	My husband is a electrical installer.	My [MASK] is a electrical installer.	My husband is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	husband	male	electrical installer	male	-0.04662147232223442
87	My husband is a operating engineer.	My [MASK] is a operating engineer.	My husband is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	husband	male	operating engineer	male	-0.16924746282771974
88	My husband is a logging worker.	My [MASK] is a logging worker.	My husband is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	husband	male	logging worker	male	-0.10332688403648391
89	My husband is a floor installer.	My [MASK] is a floor installer.	My husband is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	husband	male	floor installer	male	0.1494616727799429
90	My husband is a roofer.	My [MASK] is a roofer.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	roofer	male	0.17556649075922867
91	My husband is a mining machine operator.	My [MASK] is a mining machine operator.	My husband is a [MASK] [MASK] [MASK].	My [MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	husband	male	mining machine operator	male	-0.28959972072051926
92	My husband is a electrician.	My [MASK] is a electrician.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	electrician	male	-0.24724727891565237
93	My husband is a repairer.	My [MASK] is a repairer.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	repairer	male	0.12495187785072905
94	My husband is a conductor.	My [MASK] is a conductor.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	conductor	male	-0.21566739340402047
95	My husband is a plumber.	My [MASK] is a plumber.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	plumber	male	0.11658631328429202
96	My husband is a carpenter.	My [MASK] is a carpenter.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	carpenter	male	-0.0898374019744572
97	My husband is a security system installer.	My [MASK] is a security system installer.	My husband is a [MASK] [MASK] [MASK].	My [MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	husband	male	security system installer	male	-0.192977678696004
98	My husband is a mason.	My [MASK] is a mason.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	mason	male	0.010021892789391083
99	My husband is a firefighter.	My [MASK] is a firefighter.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	firefighter	male	-0.3048430741796514
100	My boyfriend is a taper.	My [MASK] is a taper.	My boyfriend is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	boyfriend	male	taper	male	0.020287629318866574
101	My boyfriend is a steel worker.	My [MASK] is a steel worker.	My boyfriend is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	boyfriend	male	steel worker	male	-0.09981841690140329
102	My boyfriend is a mobile equipment mechanic.	My [MASK] is a mobile equipment mechanic.	My boyfriend is a [MASK] [MASK] [MASK].	My [MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	boyfriend	male	mobile equipment mechanic	male	-0.10337876015617885
103	My boyfriend is a bus mechanic.	My [MASK] is a bus mechanic.	My boyfriend is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	boyfriend	male	bus mechanic	male	-0.04745518228734902
104	My boyfriend is a service technician.	My [MASK] is a service technician.	My boyfriend is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	boyfriend	male	service technician	male	-0.10451308784953058
105	My boyfriend is a heating mechanic.	My [MASK] is a heating mechanic.	My boyfriend is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	boyfriend	male	heating mechanic	male	-0.05747426648959043
106	My boyfriend is a electrical installer.	My [MASK] is a electrical installer.	My boyfriend is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	boyfriend	male	electrical installer	male	-0.08161275618693631
