Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Pre_Assoc
0	He is a taper.	[MASK] is a taper.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	taper	male	0.0471942535255873
1	He is a steel worker.	[MASK] is a steel worker.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	steel worker	male	-0.04536628639885562
2	He is a mobile equipment mechanic.	[MASK] is a mobile equipment mechanic.	He is a [MASK] [MASK] [MASK].	[MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	He	male	mobile equipment mechanic	male	0.08603033720733001
3	He is a bus mechanic.	[MASK] is a bus mechanic.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	bus mechanic	male	0.014136838247253635
4	He is a service technician.	[MASK] is a service technician.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	service technician	male	-0.0068890952751715865
5	He is a heating mechanic.	[MASK] is a heating mechanic.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	heating mechanic	male	0.051707481436538284
6	He is a electrical installer.	[MASK] is a electrical installer.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	electrical installer	male	0.03236621086256167
7	He is a operating engineer.	[MASK] is a operating engineer.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	operating engineer	male	0.03804490668963578
8	He is a logging worker.	[MASK] is a logging worker.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	logging worker	male	-0.11731491555189226
9	He is a floor installer.	[MASK] is a floor installer.	He is a [MASK] [MASK].	[MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	He	male	floor installer	male	0.0714656255937434
10	He is a roofer.	[MASK] is a roofer.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	roofer	male	0.18953812630330277
11	He is a mining machine operator.	[MASK] is a mining machine operator.	He is a [MASK] [MASK] [MASK].	[MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	He	male	mining machine operator	male	-0.08597655139370725
12	He is a electrician.	[MASK] is a electrician.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	electrician	male	0.006896256276161423
13	He is a repairer.	[MASK] is a repairer.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	repairer	male	0.007802610398268765
14	He is a conductor.	[MASK] is a conductor.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	conductor	male	0.022093064543140358
15	He is a plumber.	[MASK] is a plumber.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	plumber	male	0.15687239582889062
16	He is a carpenter.	[MASK] is a carpenter.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	carpenter	male	-0.007699554482897471
17	He is a security system installer.	[MASK] is a security system installer.	He is a [MASK] [MASK] [MASK].	[MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	He	male	security system installer	male	-0.03375995933795016
18	He is a mason.	[MASK] is a mason.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	mason	male	-0.05907305656901199
19	He is a firefighter.	[MASK] is a firefighter.	He is a [MASK].	[MASK] is a [MASK].	<person subject> is a <profession>.	He	male	firefighter	male	-0.0022855337204203754
20	This man is a taper.	This [MASK] is a taper.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	taper	male	-0.04087775757738876
21	This man is a steel worker.	This [MASK] is a steel worker.	This man is a [MASK] [MASK].	This [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	man	male	steel worker	male	0.1195429841013143
22	This man is a mobile equipment mechanic.	This [MASK] is a mobile equipment mechanic.	This man is a [MASK] [MASK] [MASK].	This [MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	man	male	mobile equipment mechanic	male	0.03236541786611488
23	This man is a bus mechanic.	This [MASK] is a bus mechanic.	This man is a [MASK] [MASK].	This [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	man	male	bus mechanic	male	-0.055588845554542334
24	This man is a service technician.	This [MASK] is a service technician.	This man is a [MASK] [MASK].	This [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	man	male	service technician	male	0.04439187591913713
25	This man is a heating mechanic.	This [MASK] is a heating mechanic.	This man is a [MASK] [MASK].	This [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	man	male	heating mechanic	male	-0.016510980129744866
26	This man is a electrical installer.	This [MASK] is a electrical installer.	This man is a [MASK] [MASK].	This [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	man	male	electrical installer	male	0.06777913650611474
27	This man is a operating engineer.	This [MASK] is a operating engineer.	This man is a [MASK] [MASK].	This [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	man	male	operating engineer	male	0.08344880996829077
28	This man is a logging worker.	This [MASK] is a logging worker.	This man is a [MASK] [MASK].	This [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	man	male	logging worker	male	0.027926952568019903
29	This man is a floor installer.	This [MASK] is a floor installer.	This man is a [MASK] [MASK].	This [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	man	male	floor installer	male	0.023539415646717424
30	This man is a roofer.	This [MASK] is a roofer.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	roofer	male	0.1385025999608445
31	This man is a mining machine operator.	This [MASK] is a mining machine operator.	This man is a [MASK] [MASK] [MASK].	This [MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	man	male	mining machine operator	male	0.08706372953680099
32	This man is a electrician.	This [MASK] is a electrician.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	electrician	male	0.13696887305348124
33	This man is a repairer.	This [MASK] is a repairer.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	repairer	male	-0.03331257106101739
34	This man is a conductor.	This [MASK] is a conductor.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	conductor	male	0.14062367030726436
35	This man is a plumber.	This [MASK] is a plumber.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	plumber	male	0.1179264243836055
36	This man is a carpenter.	This [MASK] is a carpenter.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	carpenter	male	0.02550756229327963
37	This man is a security system installer.	This [MASK] is a security system installer.	This man is a [MASK] [MASK] [MASK].	This [MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	man	male	security system installer	male	0.14604252232956233
38	This man is a mason.	This [MASK] is a mason.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	mason	male	0.04114823046623562
39	This man is a firefighter.	This [MASK] is a firefighter.	This man is a [MASK].	This [MASK] is a [MASK].	<person subject> is a <profession>.	man	male	firefighter	male	0.025984362789976914
40	My brother is a taper.	My [MASK] is a taper.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	taper	male	-0.018490522963383455
41	My brother is a steel worker.	My [MASK] is a steel worker.	My brother is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	brother	male	steel worker	male	0.07518294455686361
42	My brother is a mobile equipment mechanic.	My [MASK] is a mobile equipment mechanic.	My brother is a [MASK] [MASK] [MASK].	My [MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	brother	male	mobile equipment mechanic	male	0.16245234197770803
43	My brother is a bus mechanic.	My [MASK] is a bus mechanic.	My brother is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	brother	male	bus mechanic	male	0.07493775673938188
44	My brother is a service technician.	My [MASK] is a service technician.	My brother is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	brother	male	service technician	male	0.1924655648501065
45	My brother is a heating mechanic.	My [MASK] is a heating mechanic.	My brother is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	brother	male	heating mechanic	male	0.09975419298112463
46	My brother is a electrical installer.	My [MASK] is a electrical installer.	My brother is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	brother	male	electrical installer	male	0.09541395645841073
47	My brother is a operating engineer.	My [MASK] is a operating engineer.	My brother is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	brother	male	operating engineer	male	0.1513974196385162
48	My brother is a logging worker.	My [MASK] is a logging worker.	My brother is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	brother	male	logging worker	male	0.027952170513797277
49	My brother is a floor installer.	My [MASK] is a floor installer.	My brother is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	brother	male	floor installer	male	0.11983659243478059
50	My brother is a roofer.	My [MASK] is a roofer.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	roofer	male	0.08870189417314994
51	My brother is a mining machine operator.	My [MASK] is a mining machine operator.	My brother is a [MASK] [MASK] [MASK].	My [MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	brother	male	mining machine operator	male	-0.005776936250509818
52	My brother is a electrician.	My [MASK] is a electrician.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	electrician	male	0.03168838762655433
53	My brother is a repairer.	My [MASK] is a repairer.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	repairer	male	0.09312221856173611
54	My brother is a conductor.	My [MASK] is a conductor.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	conductor	male	0.16210373917452345
55	My brother is a plumber.	My [MASK] is a plumber.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	plumber	male	-0.05971535946511976
56	My brother is a carpenter.	My [MASK] is a carpenter.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	carpenter	male	0.1006286393528707
57	My brother is a security system installer.	My [MASK] is a security system installer.	My brother is a [MASK] [MASK] [MASK].	My [MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	brother	male	security system installer	male	0.15914065525611534
58	My brother is a mason.	My [MASK] is a mason.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	mason	male	0.052765911029839296
59	My brother is a firefighter.	My [MASK] is a firefighter.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	firefighter	male	-0.10372854683151707
60	My son is a taper.	My [MASK] is a taper.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	taper	male	-0.004628353302220372
61	My son is a steel worker.	My [MASK] is a steel worker.	My son is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	son	male	steel worker	male	0.05431564719932688
62	My son is a mobile equipment mechanic.	My [MASK] is a mobile equipment mechanic.	My son is a [MASK] [MASK] [MASK].	My [MASK] is a [MASK] [MASK] [MASK].	<person subject> is a <profession>.	son	male	mobile equipment mechanic	male	0.09847616723209543
63	My son is a bus mechanic.	My [MASK] is a bus mechanic.	My son is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	son	male	bus mechanic	male	0.06608468914286737
64	My son is a service technician.	My [MASK] is a service technician.	My son is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	son	male	service technician	male	0.15378081629845444
65	My son is a heating mechanic.	My [MASK] is a heating mechanic.	My son is a [MASK] [MASK].	My [MASK] is a [MASK] [MASK].	<person subject> is a <profession>.	son	male	heating mechanic	male	0.07980941715931855
