model	options	test	p_value	effect_size	num_targ1	num_targ2	num_attr1	num_attr2
bert	version=../tinybert_imdb_model	angry_black_woman_stereotype	0.01886	0.7481564278571415	15	15	18	18
bert	version=../tinybert_imdb_model	angry_black_woman_stereotype_b	0.8	-0.6953286863468519	4	4	18	18
bert	version=../tinybert_imdb_model	heilman_double_bind_competent_1	0.20287490287490287	0.43343738378717617	8	8	10	10
bert	version=../tinybert_imdb_model	heilman_double_bind_competent_1+3-	0.0003108003108003108	1.381402019002543	8	8	10	10
bert	version=../tinybert_imdb_model	heilman_double_bind_competent_1-	0.012121212121212121	1.0466454680459127	8	8	10	10
bert	version=../tinybert_imdb_model	heilman_double_bind_competent_one_sentence	0.9262626262626262	-0.7337947817671172	8	8	10	10
bert	version=../tinybert_imdb_model	heilman_double_bind_competent_one_word	0.9926184926184927	-1.1740374479906068	8	8	10	10
bert	version=../tinybert_imdb_model	heilman_double_bind_likable_1	0.20124320124320125	0.4355109905301753	8	8	8	8
bert	version=../tinybert_imdb_model	heilman_double_bind_likable_1+3-	0.09044289044289044	0.6846114948743492	8	8	8	8
bert	version=../tinybert_imdb_model	heilman_double_bind_likable_1-	0.05718725718725719	0.7951867312791664	8	8	8	8
bert	version=../tinybert_imdb_model	heilman_double_bind_likable_one_sentence	0.3774669774669775	0.1655616987487708	8	8	8	8
bert	version=../tinybert_imdb_model	heilman_double_bind_likable_one_word	0.993006993006993	-1.1578276258538591	8	8	8	8
bert	version=../tinybert_imdb_model	sent-angry_black_woman_stereotype	0.25366	0.08590112167989425	120	120	54	54
bert	version=../tinybert_imdb_model	sent-angry_black_woman_stereotype_b	0.94348	-0.3095717238847228	52	52	54	54
bert	version=../tinybert_imdb_model	sent-heilman_double_bind_competent_one_word	0.914	-0.24256352393558794	64	64	30	30
bert	version=../tinybert_imdb_model	sent-heilman_double_bind_likable_one_word	0.94407	-0.2830606427695888	64	64	24	24
bert	version=../tinybert_imdb_model	sent-weat1	1e-05	0.4759890084886618	350	350	215	250
bert	version=../tinybert_imdb_model	sent-weat2	1e-05	0.7712609443769516	330	330	215	250
bert	version=../tinybert_imdb_model	sent-weat3	0.01054	0.20297890966790555	256	256	215	249
bert	version=../tinybert_imdb_model	sent-weat3b	0.14762	0.10563932016361377	195	195	215	249
bert	version=../tinybert_imdb_model	sent-weat4	0.02609	0.241669890428801	128	128	215	249
bert	version=../tinybert_imdb_model	sent-weat5	0.02636	0.24072260814333812	128	128	40	47
bert	version=../tinybert_imdb_model	sent-weat5b	0.14292	0.10824520754633452	195	195	40	47
bert	version=../tinybert_imdb_model	sent-weat6	0.01133	0.3998695158454686	64	64	101	112
bert	version=../tinybert_imdb_model	sent-weat6b	0.69787	-0.08292872241323149	80	80	101	112
bert	version=../tinybert_imdb_model	sent-weat7	1.0	-0.8223387915106201	72	72	80	80
bert	version=../tinybert_imdb_model	sent-weat7b	1e-05	1.014333138265779	72	72	64	64
bert	version=../tinybert_imdb_model	sent-weat8	1.0	-0.9454774641370235	56	56	80	80
bert	version=../tinybert_imdb_model	sent-weat8b	1e-05	1.115145309860926	56	56	64	64
bert	version=../tinybert_imdb_model	sent-weat9	0.91067	-0.45440726639547546	18	18	21	23
bert	version=../tinybert_imdb_model	sent-weat10	0.98234	-0.3720193422098211	64	64	40	47
bert	version=../tinybert_imdb_model	weat1	0.07616	0.4066089818895377	25	25	25	25
bert	version=../tinybert_imdb_model	weat2	8e-05	1.0103398069356437	25	25	25	25
bert	version=../tinybert_imdb_model	weat3	0.06267	0.3869919119145296	32	32	25	25
bert	version=../tinybert_imdb_model	weat3b	0.2621	0.24124574867739546	15	15	25	25
bert	version=../tinybert_imdb_model	weat4	0.30646	0.18356708669936728	16	16	25	25
bert	version=../tinybert_imdb_model	weat5	0.30854	0.18002853014775405	16	16	8	8
bert	version=../tinybert_imdb_model	weat5b	0.30559	0.19132624264071138	15	15	8	8
bert	version=../tinybert_imdb_model	weat6	0.007381507381507382	1.1649787740870452	8	8	8	8
bert	version=../tinybert_imdb_model	weat6b	0.20357420357420358	0.4325530834250867	8	8	8	8
bert	version=../tinybert_imdb_model	weat7	0.0001554001554001554	1.602194134354107	8	8	8	8
bert	version=../tinybert_imdb_model	weat7b	0.003962703962703963	1.2584660035413628	8	8	8	8
bert	version=../tinybert_imdb_model	weat8	0.9191919191919192	-0.7090657423809911	8	8	8	8
bert	version=../tinybert_imdb_model	weat8b	0.0006216006216006216	1.4560517629661287	8	8	8	8
bert	version=../tinybert_imdb_model	weat9	0.354978354978355	0.22753624264795153	6	6	7	7
bert	version=../tinybert_imdb_model	weat10	0.9512043512043512	-0.8302058227219176	8	8	8	8
