model	options	test	p_value	effect_size	num_targ1	num_targ2	num_attr1	num_attr2
bert	version=../output_models	angry_black_woman_stereotype	0.59853	-0.09300725588240409	15	15	18	18
bert	version=../output_models	angry_black_woman_stereotype_b	0.02857142857142857	1.3084032096053773	4	4	18	18
bert	version=../output_models	heilman_double_bind_competent_1	0.33193473193473194	0.22854228505878565	8	8	10	10
bert	version=../output_models	heilman_double_bind_competent_1+3-	7.77000777000777e-05	1.8018869243900897	8	8	10	10
bert	version=../output_models	heilman_double_bind_competent_1-	7.77000777000777e-05	1.7912198169076652	8	8	10	10
bert	version=../output_models	heilman_double_bind_competent_one_sentence	0.357031857031857	0.18714786003017836	8	8	10	10
bert	version=../output_models	heilman_double_bind_competent_one_word	0.3775446775446775	0.15936050984389877	8	8	10	10
bert	version=../output_models	heilman_double_bind_likable_1	0.13263403263403264	0.5692592723917874	8	8	8	8
bert	version=../output_models	heilman_double_bind_likable_1+3-	0.3367521367521368	0.21691058943159391	8	8	8	8
bert	version=../output_models	heilman_double_bind_likable_1-	0.0386946386946387	0.8805938409164169	8	8	8	8
bert	version=../output_models	heilman_double_bind_likable_one_sentence	0.4664335664335664	0.0543843145745035	8	8	8	8
bert	version=../output_models	heilman_double_bind_likable_one_word	0.1871017871017871	0.4563177148649856	8	8	8	8
bert	version=../output_models	sent-angry_black_woman_stereotype	0.06435	0.19667637420095188	120	120	54	54
bert	version=../output_models	sent-angry_black_woman_stereotype_b	0.70172	-0.10577328060587396	52	52	54	54
bert	version=../output_models	sent-heilman_double_bind_competent_one_word	0.27765	0.10445481012365013	64	64	30	30
bert	version=../output_models	sent-heilman_double_bind_likable_one_word	0.07049	0.2601991506014224	64	64	24	24
bert	version=../output_models	sent-weat1	1e-05	0.8191737042115536	350	350	215	250
bert	version=../output_models	sent-weat2	1e-05	0.6240510136040924	330	330	215	250
bert	version=../output_models	sent-weat3	0.69337	-0.044531061328466036	256	256	215	249
bert	version=../output_models	sent-weat3b	0.99912	-0.31559200484662525	195	195	215	249
bert	version=../output_models	sent-weat4	0.51326	-0.004170465114341843	128	128	215	249
bert	version=../output_models	sent-weat5	0.2992	0.06579747450710179	128	128	40	47
bert	version=../output_models	sent-weat5b	0.87247	-0.11508841908263442	195	195	40	47
bert	version=../output_models	sent-weat6	0.27902	0.10450076733855261	64	64	101	112
bert	version=../output_models	sent-weat6b	0.00028	0.5354638329476532	80	80	101	112
bert	version=../output_models	sent-weat7	4e-05	0.642335216516662	72	72	80	80
bert	version=../output_models	sent-weat7b	1e-05	0.7007376873297215	72	72	64	64
bert	version=../output_models	sent-weat8	0.00672	0.46433826763439207	56	56	80	80
bert	version=../output_models	sent-weat8b	0.34711	0.07554983782053021	56	56	64	64
bert	version=../output_models	sent-weat9	0.99864	-0.9643831900658213	18	18	21	23
bert	version=../output_models	sent-weat10	0.9464	-0.28490779392401727	64	64	40	47
bert	version=../output_models	weat1	0.00072	0.8416232439271814	25	25	25	25
bert	version=../output_models	weat2	0.0993	0.3709390530268404	25	25	25	25
bert	version=../output_models	weat3	0.85499	-0.2679882850711842	32	32	25	25
bert	version=../output_models	weat3b	0.93452	-0.5559158281237189	15	15	25	25
bert	version=../output_models	weat4	0.6129	-0.11215169116746299	16	16	25	25
bert	version=../output_models	weat5	0.8623	-0.38832334873149466	16	16	8	8
bert	version=../output_models	weat5b	0.99853	-1.0416764036414987	15	15	8	8
bert	version=../output_models	weat6	0.19914529914529913	0.4359307600189968	8	8	8	8
bert	version=../output_models	weat6b	0.23006993006993007	0.37799771714992353	8	8	8	8
bert	version=../output_models	weat7	0.4428127428127428	0.07981822631455744	8	8	8	8
bert	version=../output_models	weat7b	0.4863247863247863	0.01585231021077123	8	8	8	8
bert	version=../output_models	weat8	0.03193473193473193	0.920721073354131	8	8	8	8
bert	version=../output_models	weat8b	0.11942501942501943	0.6024825113638688	8	8	8	8
bert	version=../output_models	weat9	0.017316017316017316	1.2180237196535453	6	6	7	7
bert	version=../output_models	weat10	0.8414141414141414	-0.5155224387301538	8	8	8	8
