model	options	test	p_value	effect_size	num_targ1	num_targ2	num_attr1	num_attr2
bert	version=../imdb_output_models	angry_black_woman_stereotype	0.90954	-0.49552906990094453	15	15	18	18
bert	version=../imdb_output_models	angry_black_woman_stereotype_b	0.35714285714285715	0.40790324100912995	4	4	18	18
bert	version=../imdb_output_models	heilman_double_bind_competent_1	0.9038850038850039	-0.6749988547519856	8	8	10	10
bert	version=../imdb_output_models	heilman_double_bind_competent_1+3-	0.0018648018648018648	1.3640093986162143	8	8	10	10
bert	version=../imdb_output_models	heilman_double_bind_competent_1-	0.02362082362082362	0.983565415099169	8	8	10	10
bert	version=../imdb_output_models	heilman_double_bind_competent_one_sentence	0.921911421911422	-0.7149185193322137	8	8	10	10
bert	version=../imdb_output_models	heilman_double_bind_competent_one_word	0.6336441336441336	-0.1874062580334242	8	8	10	10
bert	version=../imdb_output_models	heilman_double_bind_likable_1	0.7397824397824397	-0.33982732434002055	8	8	8	8
bert	version=../imdb_output_models	heilman_double_bind_likable_1+3-	0.0018648018648018648	1.3340642215591503	8	8	8	8
bert	version=../imdb_output_models	heilman_double_bind_likable_1-	0.0006216006216006216	1.462606905032532	8	8	8	8
bert	version=../imdb_output_models	heilman_double_bind_likable_one_sentence	0.9417249417249417	-0.7756242374843766	8	8	8	8
bert	version=../imdb_output_models	heilman_double_bind_likable_one_word	0.7010878010878011	-0.2733441723497792	8	8	8	8
bert	version=../imdb_output_models	sent-angry_black_woman_stereotype	1e-05	0.7073869582491097	120	120	54	54
bert	version=../imdb_output_models	sent-angry_black_woman_stereotype_b	0.65661	-0.07825266436968531	52	52	54	54
bert	version=../imdb_output_models	sent-heilman_double_bind_competent_one_word	0.33144	0.07715721536019712	64	64	30	30
bert	version=../imdb_output_models	sent-heilman_double_bind_likable_one_word	0.17613	0.1665478481414067	64	64	24	24
bert	version=../imdb_output_models	sent-weat1	5e-05	0.32241317018950494	350	350	215	250
bert	version=../imdb_output_models	sent-weat2	1e-05	0.35279261978783877	330	330	215	250
bert	version=../imdb_output_models	sent-weat3	0.09738	0.11496437963087033	256	256	215	249
bert	version=../imdb_output_models	sent-weat3b	0.46567	0.009652219882904434	195	195	215	249
bert	version=../imdb_output_models	sent-weat4	0.35099	0.0477075860828822	128	128	215	249
bert	version=../imdb_output_models	sent-weat5	0.0182	0.2639269357468228	128	128	40	47
bert	version=../imdb_output_models	sent-weat5b	0.87586	-0.11679901071182315	195	195	40	47
bert	version=../imdb_output_models	sent-weat6	0.19085	0.15453200173156825	64	64	101	112
bert	version=../imdb_output_models	sent-weat6b	0.8271	-0.14797394505749806	80	80	101	112
bert	version=../imdb_output_models	sent-weat7	0.9221	-0.23769156294351645	72	72	80	80
bert	version=../imdb_output_models	sent-weat7b	0.86513	-0.1859753646587039	72	72	64	64
bert	version=../imdb_output_models	sent-weat8	0.96382	-0.3382800235998957	56	56	80	80
bert	version=../imdb_output_models	sent-weat8b	0.1118	0.2304087071885799	56	56	64	64
bert	version=../imdb_output_models	sent-weat9	0.57369	-0.06407592921801035	18	18	21	23
bert	version=../imdb_output_models	sent-weat10	0.14844	0.1833806379373332	64	64	40	47
bert	version=../imdb_output_models	weat1	0.05489	0.45110016259967206	25	25	25	25
bert	version=../imdb_output_models	weat2	0.02118	0.5660339685822985	25	25	25	25
bert	version=../imdb_output_models	weat3	0.00129	0.741542818678739	32	32	25	25
bert	version=../imdb_output_models	weat3b	0.17744	0.3449864762122407	15	15	25	25
bert	version=../imdb_output_models	weat4	0.00416	0.9147642823195471	16	16	25	25
bert	version=../imdb_output_models	weat5	0.79882	-0.301411320049552	16	16	8	8
bert	version=../imdb_output_models	weat5b	0.02292	0.7239165382872791	15	15	8	8
bert	version=../imdb_output_models	weat6	0.19114219114219114	0.45546764191596517	8	8	8	8
bert	version=../imdb_output_models	weat6b	0.939005439005439	-0.7829499146804069	8	8	8	8
bert	version=../imdb_output_models	weat7	0.05858585858585859	0.7886262435727388	8	8	8	8
bert	version=../imdb_output_models	weat7b	0.19215229215229215	0.4495189180707435	8	8	8	8
bert	version=../imdb_output_models	weat8	0.22097902097902097	0.3922898665021359	8	8	8	8
bert	version=../imdb_output_models	weat8b	0.35586635586635584	0.19354027668897947	8	8	8	8
bert	version=../imdb_output_models	weat9	0.32575757575757575	0.2876267377988319	6	6	7	7
bert	version=../imdb_output_models	weat10	0.5961149961149961	-0.14527224797847782	8	8	8	8
